center,left,right,steering,throttle,brake,speed
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_06_456.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_06_456.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_06_456.jpg,0.0,0.0,0.0,5.02e-06
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_06_538.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_06_538.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_06_538.jpg,0.0,0.0,0.0,2.72e-06
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_06_633.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_06_633.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_06_633.jpg,0.0,0.0,0.0,1.64e-06
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_06_725.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_06_725.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_06_725.jpg,0.0,0.0,0.0,4.7e-06
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_06_819.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_06_819.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_06_819.jpg,0.0,0.0,0.0,5.73e-06
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_06_909.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_06_909.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_06_909.jpg,0.0,0.0,0.0,2.97e-06
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_07_004.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_07_004.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_07_004.jpg,0.0,0.0,0.0,1.3699999999999998e-05
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_07_098.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_07_098.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_07_098.jpg,0.0,0.0,0.0,1.05e-05
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_07_193.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_07_193.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_07_193.jpg,0.0,0.0,0.0,1.6e-06
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_07_283.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_07_283.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_07_283.jpg,0.0,0.0,0.0,1.18e-05
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_07_380.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_07_380.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_07_380.jpg,0.0,0.0,0.0,5.43e-06
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_07_472.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_07_472.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_07_472.jpg,0.0,0.0,0.0,3.77e-06
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_07_562.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_07_562.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_07_562.jpg,0.0,0.0,0.0,1.29e-06
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_07_669.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_07_669.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_07_669.jpg,0.0,0.0,0.0,6.09e-06
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_07_764.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_07_764.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_07_764.jpg,0.0,0.0,0.0,5.23e-06
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_07_863.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_07_863.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_07_863.jpg,-0.2,0.0,0.0,3.39e-06
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_07_948.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_07_948.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_07_948.jpg,-0.02224368,0.0,0.0,1.88e-06
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_08_041.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_08_041.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_08_041.jpg,0.0,0.0,0.0,2.3e-06
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_08_134.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_08_134.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_08_134.jpg,0.0,0.0,0.0,1.05e-05
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_08_230.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_08_230.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_08_230.jpg,-0.25,0.0,0.0,3.82e-06
C:\ADAS\temp\term1-simulator-windows\data1\IMG\center_2020_02_25_13_40_08_327.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\left_2020_02_25_13_40_08_327.jpg,C:\ADAS\temp\term1-simulator-windows\data1\IMG\right_2020_02_25_13_40_08_327.jpg,-0.5000001000000001,0.0,0.0,2.46e-06
